"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=EchoControlProtocol"
"main", "5", "EchoControlProtocol.java:15", "Method Call", " caller=SYSTEM, target=EchoControlProtocol#main:1"
"main", "6", "EchoControlProtocol.java:11", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "EchoControlProtocol.java:11", "New Object", " object=java.lang.String[]:1"
"main", "9", "EchoControlProtocol.java:11", "Variable Write", " context=EchoControlProtocol#main:1, args=java.lang.String[]:1"
"main", "10", "EchoControlProtocol.java:15", "Line Step", " file=EchoControlProtocol.java, line=15"
"main", "11", "EchoControlProtocol.java:15", "Variable Write", " context=EchoControlProtocol#main:1, scn=java.util.Scanner (id=46)"
"main", "12", "EchoControlProtocol.java:18", "Line Step", " file=EchoControlProtocol.java, line=18"
"main", "13", "EchoControlProtocol.java:18", "Variable Write", " context=EchoControlProtocol#main:1, ip=java.net.Inet4Address (id=47)"
"main", "14", "EchoControlProtocol.java:23", "Line Step", " file=EchoControlProtocol.java, line=23"
"main", "15", "EchoControlProtocol.java:23", "Variable Write", " context=EchoControlProtocol#main:1, s=java.net.Socket (id=50)"
"main", "16", "EchoControlProtocol.java:24", "Line Step", " file=EchoControlProtocol.java, line=24"
"main", "17", "EchoControlProtocol.java:24", "Variable Write", " context=EchoControlProtocol#main:1, sock=null"
"main", "18", "EchoControlProtocol.java:28", "Line Step", " file=EchoControlProtocol.java, line=28"
"main", "19", "EchoControlProtocol.java:28", "Variable Write", " context=EchoControlProtocol#main:1, sock=""Socket[addr=localhost/127.0.0.1,port=5056,localport=50856]"""
"main", "20", "EchoControlProtocol.java:34", "Line Step", " file=EchoControlProtocol.java, line=34"
"main", "21", "EchoControlProtocol.java:34", "Variable Write", " context=EchoControlProtocol#main:1, dis=java.io.DataInputStream (id=53)"
"main", "22", "EchoControlProtocol.java:35", "Line Step", " file=EchoControlProtocol.java, line=35"
"main", "23", "EchoControlProtocol.java:36", "Line Step", " file=EchoControlProtocol.java, line=36"
"main", "24", "EchoControlProtocol.java:36", "Variable Write", " context=EchoControlProtocol#main:1, tosend=""Date"""
"main", "25", "EchoControlProtocol.java:37", "Line Step", " file=EchoControlProtocol.java, line=37"
"main", "26", "EchoControlProtocol.java:37", "Variable Write", " context=EchoControlProtocol#main:1, dos=java.io.DataOutputStream (id=57)"
"main", "27", "EchoControlProtocol.java:38", "Line Step", " file=EchoControlProtocol.java, line=38"
"main", "28", "EchoControlProtocol.java:42", "Line Step", " file=EchoControlProtocol.java, line=42"
"main", "29", "EchoControlProtocol.java:52", "Line Step", " file=EchoControlProtocol.java, line=52"
"main", "30", "EchoControlProtocol.java:52", "Variable Write", " context=EchoControlProtocol#main:1, received=""2020/04/30"""
"main", "31", "EchoControlProtocol.java:53", "Line Step", " file=EchoControlProtocol.java, line=53"
"main", "32", "EchoControlProtocol.java:32", "Line Step", " file=EchoControlProtocol.java, line=32"
"main", "33", "EchoControlProtocol.java:32", "Variable Delete", " method=EchoControlProtocol#main:1 <name=dis,type=java.io.DataInputStream (unresolved),value=<?>,index=5>"
"main", "34", "EchoControlProtocol.java:32", "Variable Delete", " method=EchoControlProtocol#main:1 <name=tosend,type=java.lang.String (id=25),value=<?>,index=6>"
"main", "35", "EchoControlProtocol.java:32", "Variable Delete", " method=EchoControlProtocol#main:1 <name=dos,type=java.io.DataOutputStream (unresolved),value=<?>,index=7>"
"main", "36", "EchoControlProtocol.java:32", "Variable Delete", " method=EchoControlProtocol#main:1 <name=received,type=java.lang.String (id=25),value=<?>,index=8>"
"main", "37", "EchoControlProtocol.java:34", "Line Step", " file=EchoControlProtocol.java, line=34"
"main", "38", "EchoControlProtocol.java:34", "Variable Write", " context=EchoControlProtocol#main:1, dis=java.io.DataInputStream (id=61)"
"main", "39", "EchoControlProtocol.java:35", "Line Step", " file=EchoControlProtocol.java, line=35"
"main", "40", "EchoControlProtocol.java:36", "Line Step", " file=EchoControlProtocol.java, line=36"
"main", "41", "EchoControlProtocol.java:36", "Variable Write", " context=EchoControlProtocol#main:1, tosend=""Exit"""
"main", "42", "EchoControlProtocol.java:37", "Line Step", " file=EchoControlProtocol.java, line=37"
"main", "43", "EchoControlProtocol.java:37", "Variable Write", " context=EchoControlProtocol#main:1, dos=java.io.DataOutputStream (id=63)"
"main", "44", "EchoControlProtocol.java:38", "Line Step", " file=EchoControlProtocol.java, line=38"
"main", "45", "EchoControlProtocol.java:42", "Line Step", " file=EchoControlProtocol.java, line=42"
"main", "46", "EchoControlProtocol.java:44", "Line Step", " file=EchoControlProtocol.java, line=44"
"main", "47", "EchoControlProtocol.java:46", "Line Step", " file=EchoControlProtocol.java, line=46"
"main", "48", "EchoControlProtocol.java:47", "Line Step", " file=EchoControlProtocol.java, line=47"
"main", "49", "EchoControlProtocol.java:48", "Line Step", " file=EchoControlProtocol.java, line=48"
"main", "50", "EchoControlProtocol.java:57", "Line Step", " file=EchoControlProtocol.java, line=57"
"main", "51", "EchoControlProtocol.java:57", "Variable Delete", " method=EchoControlProtocol#main:1 <name=dis,type=java.io.DataInputStream (unresolved),value=<?>,index=5>"
"main", "52", "EchoControlProtocol.java:57", "Variable Delete", " method=EchoControlProtocol#main:1 <name=tosend,type=java.lang.String (id=25),value=<?>,index=6>"
"main", "53", "EchoControlProtocol.java:57", "Variable Delete", " method=EchoControlProtocol#main:1 <name=dos,type=java.io.DataOutputStream (unresolved),value=<?>,index=7>"
"main", "54", "EchoControlProtocol.java:60", "Line Step", " file=EchoControlProtocol.java, line=60"
"main", "55", "EchoControlProtocol.java:63", "Line Step", " file=EchoControlProtocol.java, line=63"
"main", "56", "EchoControlProtocol.java:63", "Method Exit", " returner=EchoControlProtocol#main:1, value=<void>"
"main", "57", "EchoControlProtocol.java:15", "Method Returned", " "
"main", "58", "SYSTEM", "Thread End", " "
"SYSTEM", "59", "SYSTEM", "System End", " "
