"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=MultipleClientProtocolServer"
"main", "5", "MultipleClientProtocolServer.java:17", "Method Call", " caller=SYSTEM, target=MultipleClientProtocolServer#main:1"
"main", "6", "MultipleClientProtocolServer.java:14", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "MultipleClientProtocolServer.java:14", "New Object", " object=java.lang.String[]:1"
"main", "9", "MultipleClientProtocolServer.java:14", "Variable Write", " context=MultipleClientProtocolServer#main:1, args=java.lang.String[]:1"
"main", "10", "MultipleClientProtocolServer.java:17", "Line Step", " file=MultipleClientProtocolServer.java, line=17"
"main", "11", "MultipleClientProtocolServer.java:17", "Variable Write", " context=MultipleClientProtocolServer#main:1, ss=java.net.ServerSocket (id=25)"
"main", "12", "MultipleClientProtocolServer.java:23", "Line Step", " file=MultipleClientProtocolServer.java, line=23"
"main", "13", "MultipleClientProtocolServer.java:23", "Variable Write", " context=MultipleClientProtocolServer#main:1, s=null"
"main", "14", "MultipleClientProtocolServer.java:28", "Line Step", " file=MultipleClientProtocolServer.java, line=28"
"main", "15", "MultipleClientProtocolServer.java:28", "Variable Write", " context=MultipleClientProtocolServer#main:1, s=java.net.Socket (id=27)"
"main", "16", "MultipleClientProtocolServer.java:29", "Line Step", " file=MultipleClientProtocolServer.java, line=29"
"main", "17", "MultipleClientProtocolServer.java:29", "Variable Write", " context=MultipleClientProtocolServer#main:1, sock=""Socket[addr=/127.0.0.1,port=50856,localport=5056]"""
"main", "18", "MultipleClientProtocolServer.java:31", "Line Step", " file=MultipleClientProtocolServer.java, line=31"
"main", "19", "MultipleClientProtocolServer.java:36", "Line Step", " file=MultipleClientProtocolServer.java, line=36"
"main", "20", "MultipleClientProtocolServer.java:39", "Line Step", " file=MultipleClientProtocolServer.java, line=39"
"main", "21", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "22", "SYSTEM", "Type Load", " class=ClientHandler"
"main", "23", "MultipleClientProtocolServer.java:39", "New Object", " object=ClientHandler:1"
"main", "24", "MultipleClientProtocolServer.java:39", "Method Call", " caller=MultipleClientProtocolServer#main:1, target=ClientHandler:1#ClientHandler:1"
"main", "25", "MultipleClientProtocolServer.java:66", "Method Entered", " "
"main", "26", "MultipleClientProtocolServer.java:66", "Variable Write", " context=ClientHandler:1#ClientHandler:1, s=java.net.Socket (id=27)"
"main", "27", "MultipleClientProtocolServer.java:66", "Line Step", " file=MultipleClientProtocolServer.java, line=66"
"main", "28", "MultipleClientProtocolServer.java:57", "Line Step", " file=MultipleClientProtocolServer.java, line=57"
"main", "29", "MultipleClientProtocolServer.java:57", "Field Write", " context=ClientHandler:1, fordate=java.text.SimpleDateFormat (id=58)"
"main", "30", "MultipleClientProtocolServer.java:58", "Line Step", " file=MultipleClientProtocolServer.java, line=58"
"main", "31", "MultipleClientProtocolServer.java:58", "Field Write", " context=ClientHandler:1, fortime=java.text.SimpleDateFormat (id=60)"
"main", "32", "MultipleClientProtocolServer.java:59", "Line Step", " file=MultipleClientProtocolServer.java, line=59"
"main", "33", "MultipleClientProtocolServer.java:59", "Field Write", " context=ClientHandler:1, dis=null"
"main", "34", "MultipleClientProtocolServer.java:60", "Line Step", " file=MultipleClientProtocolServer.java, line=60"
"main", "35", "MultipleClientProtocolServer.java:60", "Field Write", " context=ClientHandler:1, dos=null"
"main", "36", "MultipleClientProtocolServer.java:68", "Line Step", " file=MultipleClientProtocolServer.java, line=68"
"main", "37", "MultipleClientProtocolServer.java:68", "Field Write", " context=ClientHandler:1, s=java.net.Socket (id=27)"
"main", "38", "MultipleClientProtocolServer.java:69", "Line Step", " file=MultipleClientProtocolServer.java, line=69"
"main", "39", "MultipleClientProtocolServer.java:69", "Method Exit", " returner=ClientHandler:1#ClientHandler:1, value=<void>"
"main", "40", "MultipleClientProtocolServer.java:39", "Method Returned", " "
"main", "41", "MultipleClientProtocolServer.java:39", "Line Step", " file=MultipleClientProtocolServer.java, line=39"
"main", "42", "MultipleClientProtocolServer.java:39", "Variable Write", " context=MultipleClientProtocolServer#main:1, t=ClientHandler:1"
"main", "43", "MultipleClientProtocolServer.java:42", "Line Step", " file=MultipleClientProtocolServer.java, line=42"
"Thread-0", "44", "SYSTEM", "Thread Start", " Thread-0 (31)"
"Thread-0", "45", "MultipleClientProtocolServer.java:81", "Method Call", " caller=SYSTEM, target=ClientHandler:1#run:1"
"main", "46", "MultipleClientProtocolServer.java:45", "Line Step", " file=MultipleClientProtocolServer.java, line=45"
"Thread-0", "47", "MultipleClientProtocolServer.java:72", "Method Entered", " "
"main", "48", "MultipleClientProtocolServer.java:23", "Line Step", " file=MultipleClientProtocolServer.java, line=23"
"main", "49", "MultipleClientProtocolServer.java:23", "Variable Write", " context=MultipleClientProtocolServer#main:1, s=null"
"Thread-0", "50", "MultipleClientProtocolServer.java:81", "Field Read", " context=ClientHandler:1, s"
"main", "51", "MultipleClientProtocolServer.java:23", "Variable Delete", " method=MultipleClientProtocolServer#main:1 <name=sock,type=java.lang.String (id=25),value=<?>,index=3>"
"main", "52", "MultipleClientProtocolServer.java:23", "Variable Delete", " method=MultipleClientProtocolServer#main:1 <name=t,type=java.lang.Thread (id=97),value=<?>,index=4>"
"main", "53", "MultipleClientProtocolServer.java:28", "Line Step", " file=MultipleClientProtocolServer.java, line=28"
"Thread-0", "54", "MultipleClientProtocolServer.java:81", "Variable Write", " context=ClientHandler:1#run:1, dos=java.io.DataOutputStream (id=61)"
"Thread-0", "55", "MultipleClientProtocolServer.java:82", "Line Step", " file=MultipleClientProtocolServer.java, line=82"
"Thread-0", "56", "MultipleClientProtocolServer.java:86", "Line Step", " file=MultipleClientProtocolServer.java, line=86"
"Thread-0", "57", "MultipleClientProtocolServer.java:86", "Field Read", " context=ClientHandler:1, s"
"Thread-0", "58", "MultipleClientProtocolServer.java:86", "Variable Write", " context=ClientHandler:1#run:1, dis=java.io.DataInputStream (id=64)"
"Thread-0", "59", "MultipleClientProtocolServer.java:87", "Line Step", " file=MultipleClientProtocolServer.java, line=87"
"Thread-0", "60", "MultipleClientProtocolServer.java:87", "Variable Write", " context=ClientHandler:1#run:1, received=""Date"""
"Thread-0", "61", "MultipleClientProtocolServer.java:89", "Line Step", " file=MultipleClientProtocolServer.java, line=89"
"Thread-0", "62", "MultipleClientProtocolServer.java:100", "Line Step", " file=MultipleClientProtocolServer.java, line=100"
"Thread-0", "63", "MultipleClientProtocolServer.java:100", "Variable Write", " context=ClientHandler:1#run:1, date=""Thu Apr 30 21:48:26 IST 2020"""
"Thread-0", "64", "MultipleClientProtocolServer.java:104", "Line Step", " file=MultipleClientProtocolServer.java, line=104"
"Thread-0", "65", "MultipleClientProtocolServer.java:107", "Line Step", " file=MultipleClientProtocolServer.java, line=107"
"Thread-0", "66", "MultipleClientProtocolServer.java:107", "Field Read", " context=ClientHandler:1, fordate"
"Thread-0", "67", "MultipleClientProtocolServer.java:107", "Variable Write", " context=ClientHandler:1#run:1, toreturn=""2020/04/30"""
"Thread-0", "68", "MultipleClientProtocolServer.java:108", "Line Step", " file=MultipleClientProtocolServer.java, line=108"
"Thread-0", "69", "MultipleClientProtocolServer.java:109", "Line Step", " file=MultipleClientProtocolServer.java, line=109"
"Thread-0", "70", "MultipleClientProtocolServer.java:81", "Line Step", " file=MultipleClientProtocolServer.java, line=81"
"Thread-0", "71", "MultipleClientProtocolServer.java:81", "Field Read", " context=ClientHandler:1, s"
"Thread-0", "72", "MultipleClientProtocolServer.java:81", "Variable Write", " context=ClientHandler:1#run:1, dos=java.io.DataOutputStream (id=75)"
"Thread-0", "73", "MultipleClientProtocolServer.java:82", "Line Step", " file=MultipleClientProtocolServer.java, line=82"
"Thread-0", "74", "MultipleClientProtocolServer.java:82", "Variable Delete", " method=ClientHandler:1#run:1 <name=dis,type=java.io.DataInputStream (unresolved),value=java.io.DataInputStream (id=76),index=3>"
"Thread-0", "75", "MultipleClientProtocolServer.java:86", "Line Step", " file=MultipleClientProtocolServer.java, line=86"
"Thread-0", "76", "MultipleClientProtocolServer.java:86", "Field Read", " context=ClientHandler:1, s"
"Thread-0", "77", "MultipleClientProtocolServer.java:86", "Variable Write", " context=ClientHandler:1#run:1, dis=java.io.DataInputStream (id=76)"
"Thread-0", "78", "MultipleClientProtocolServer.java:87", "Line Step", " file=MultipleClientProtocolServer.java, line=87"
"main", "79", "MultipleClientProtocolServer.java:28", "Variable Write", " context=MultipleClientProtocolServer#main:1, s=java.net.Socket (id=77)"
"main", "80", "MultipleClientProtocolServer.java:29", "Line Step", " file=MultipleClientProtocolServer.java, line=29"
"main", "81", "MultipleClientProtocolServer.java:29", "Variable Write", " context=MultipleClientProtocolServer#main:1, sock=""Socket[addr=/127.0.0.1,port=50860,localport=5056]"""
"main", "82", "MultipleClientProtocolServer.java:31", "Line Step", " file=MultipleClientProtocolServer.java, line=31"
