"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=ServerA"
"main", "5", "ServerA.java:17", "Method Call", " caller=SYSTEM, target=ServerA#main:1"
"main", "6", "ServerA.java:14", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "ServerA.java:14", "New Object", " object=java.lang.String[]:1"
"main", "9", "ServerA.java:14", "Variable Write", " context=ServerA#main:1, args=java.lang.String[]:1"
"main", "10", "ServerA.java:17", "Line Step", " file=ServerA.java, line=17"
"main", "11", "ServerA.java:17", "Variable Write", " context=ServerA#main:1, ss=java.net.ServerSocket (id=23)"
"main", "12", "ServerA.java:23", "Line Step", " file=ServerA.java, line=23"
"main", "13", "ServerA.java:23", "Variable Write", " context=ServerA#main:1, s=null"
"main", "14", "ServerA.java:28", "Line Step", " file=ServerA.java, line=28"
"main", "15", "ServerA.java:28", "Variable Write", " context=ServerA#main:1, s=java.net.Socket (id=25)"
"main", "16", "ServerA.java:29", "Line Step", " file=ServerA.java, line=29"
"main", "17", "ServerA.java:29", "Variable Write", " context=ServerA#main:1, sock=""Socket[addr=/127.0.0.1,port=46828,localport=5056]"""
"main", "18", "ServerA.java:31", "Line Step", " file=ServerA.java, line=31"
"main", "19", "ServerA.java:36", "Line Step", " file=ServerA.java, line=36"
"main", "20", "ServerA.java:39", "Line Step", " file=ServerA.java, line=39"
"main", "21", "SYSTEM", "Type Load", " class=java.lang.Thread"
"main", "22", "SYSTEM", "Type Load", " class=ClientHandler"
"main", "23", "ServerA.java:39", "New Object", " object=ClientHandler:1"
"main", "24", "ServerA.java:39", "Method Call", " caller=ServerA#main:1, target=ClientHandler:1#ClientHandler:1"
"main", "25", "ServerA.java:66", "Method Entered", " "
"main", "26", "ServerA.java:66", "Variable Write", " context=ClientHandler:1#ClientHandler:1, s=java.net.Socket (id=25)"
"main", "27", "ServerA.java:66", "Line Step", " file=ServerA.java, line=66"
"main", "28", "ServerA.java:57", "Line Step", " file=ServerA.java, line=57"
"main", "29", "ServerA.java:57", "Field Write", " context=ClientHandler:1, fordate=java.text.SimpleDateFormat (id=56)"
"main", "30", "ServerA.java:58", "Line Step", " file=ServerA.java, line=58"
"main", "31", "ServerA.java:58", "Field Write", " context=ClientHandler:1, fortime=java.text.SimpleDateFormat (id=58)"
"main", "32", "ServerA.java:59", "Line Step", " file=ServerA.java, line=59"
"main", "33", "ServerA.java:59", "Field Write", " context=ClientHandler:1, dis=null"
"main", "34", "ServerA.java:60", "Line Step", " file=ServerA.java, line=60"
"main", "35", "ServerA.java:60", "Field Write", " context=ClientHandler:1, dos=null"
"main", "36", "ServerA.java:68", "Line Step", " file=ServerA.java, line=68"
"main", "37", "ServerA.java:68", "Field Write", " context=ClientHandler:1, s=java.net.Socket (id=25)"
"main", "38", "ServerA.java:69", "Line Step", " file=ServerA.java, line=69"
"main", "39", "ServerA.java:69", "Method Exit", " returner=ClientHandler:1#ClientHandler:1, value=<void>"
"main", "40", "ServerA.java:39", "Method Returned", " "
"main", "41", "ServerA.java:39", "Line Step", " file=ServerA.java, line=39"
"main", "42", "ServerA.java:39", "Variable Write", " context=ServerA#main:1, t=ClientHandler:1"
"main", "43", "ServerA.java:42", "Line Step", " file=ServerA.java, line=42"
"Thread-0", "44", "SYSTEM", "Thread Start", " Thread-0 (29)"
"Thread-0", "45", "ServerA.java:81", "Method Call", " caller=SYSTEM, target=ClientHandler:1#run:1"
"Thread-0", "46", "ServerA.java:72", "Method Entered", " "
"main", "47", "ServerA.java:45", "Line Step", " file=ServerA.java, line=45"
"Thread-0", "48", "ServerA.java:81", "Field Read", " context=ClientHandler:1, s"
"main", "49", "ServerA.java:23", "Line Step", " file=ServerA.java, line=23"
"main", "50", "ServerA.java:23", "Variable Write", " context=ServerA#main:1, s=null"
"Thread-0", "51", "ServerA.java:81", "Variable Write", " context=ClientHandler:1#run:1, dos=java.io.DataOutputStream (id=59)"
"Thread-0", "52", "ServerA.java:82", "Line Step", " file=ServerA.java, line=82"
"main", "53", "ServerA.java:23", "Variable Delete", " method=ServerA#main:1 <name=sock,type=java.lang.String (id=25),value=<?>,index=3>"
"main", "54", "ServerA.java:23", "Variable Delete", " method=ServerA#main:1 <name=t,type=java.lang.Thread (id=97),value=<?>,index=4>"
"main", "55", "ServerA.java:28", "Line Step", " file=ServerA.java, line=28"
"Thread-0", "56", "ServerA.java:86", "Line Step", " file=ServerA.java, line=86"
"Thread-0", "57", "ServerA.java:86", "Field Read", " context=ClientHandler:1, s"
"Thread-0", "58", "ServerA.java:86", "Variable Write", " context=ClientHandler:1#run:1, dis=java.io.DataInputStream (id=62)"
"Thread-0", "59", "ServerA.java:87", "Line Step", " file=ServerA.java, line=87"
"Thread-0", "60", "ServerA.java:87", "Variable Write", " context=ClientHandler:1#run:1, received=""Date"""
"Thread-0", "61", "ServerA.java:89", "Line Step", " file=ServerA.java, line=89"
"Thread-0", "62", "ServerA.java:100", "Line Step", " file=ServerA.java, line=100"
"Thread-0", "63", "ServerA.java:100", "Variable Write", " context=ClientHandler:1#run:1, date=""Thu Feb 27 07:15:08 IST 2020"""
"Thread-0", "64", "ServerA.java:104", "Line Step", " file=ServerA.java, line=104"
"Thread-0", "65", "ServerA.java:107", "Line Step", " file=ServerA.java, line=107"
"Thread-0", "66", "ServerA.java:107", "Field Read", " context=ClientHandler:1, fordate"
"Thread-0", "67", "ServerA.java:107", "Variable Write", " context=ClientHandler:1#run:1, toreturn=""2020/02/27"""
"Thread-0", "68", "ServerA.java:108", "Line Step", " file=ServerA.java, line=108"
"Thread-0", "69", "ServerA.java:109", "Line Step", " file=ServerA.java, line=109"
"Thread-0", "70", "ServerA.java:81", "Line Step", " file=ServerA.java, line=81"
"Thread-0", "71", "ServerA.java:81", "Field Read", " context=ClientHandler:1, s"
"Thread-0", "72", "ServerA.java:81", "Variable Write", " context=ClientHandler:1#run:1, dos=java.io.DataOutputStream (id=73)"
"Thread-0", "73", "ServerA.java:82", "Line Step", " file=ServerA.java, line=82"
"Thread-0", "74", "ServerA.java:82", "Variable Delete", " method=ClientHandler:1#run:1 <name=dis,type=java.io.DataInputStream (unresolved),value=java.io.DataInputStream (id=74),index=3>"
"Thread-0", "75", "ServerA.java:86", "Line Step", " file=ServerA.java, line=86"
"Thread-0", "76", "ServerA.java:86", "Field Read", " context=ClientHandler:1, s"
"Thread-0", "77", "ServerA.java:86", "Variable Write", " context=ClientHandler:1#run:1, dis=java.io.DataInputStream (id=74)"
"Thread-0", "78", "ServerA.java:87", "Line Step", " file=ServerA.java, line=87"
"main", "79", "ServerA.java:28", "Variable Write", " context=ServerA#main:1, s=java.net.Socket (id=75)"
"main", "80", "ServerA.java:29", "Line Step", " file=ServerA.java, line=29"
"main", "81", "ServerA.java:29", "Variable Write", " context=ServerA#main:1, sock=""Socket[addr=/127.0.0.1,port=46832,localport=5056]"""
"main", "82", "ServerA.java:31", "Line Step", " file=ServerA.java, line=31"
"main", "83", "ServerA.java:36", "Line Step", " file=ServerA.java, line=36"
"main", "84", "ServerA.java:39", "Line Step", " file=ServerA.java, line=39"
"main", "85", "ServerA.java:39", "New Object", " object=ClientHandler:2"
"main", "86", "ServerA.java:39", "Method Call", " caller=ServerA#main:1, target=ClientHandler:2#ClientHandler:2"
"main", "87", "ServerA.java:66", "Method Entered", " "
"main", "88", "ServerA.java:66", "Variable Write", " context=ClientHandler:2#ClientHandler:2, s=java.net.Socket (id=75)"
"main", "89", "ServerA.java:66", "Line Step", " file=ServerA.java, line=66"
"main", "90", "ServerA.java:57", "Line Step", " file=ServerA.java, line=57"
"main", "91", "ServerA.java:57", "Field Write", " context=ClientHandler:2, fordate=java.text.SimpleDateFormat (id=78)"
"main", "92", "ServerA.java:58", "Line Step", " file=ServerA.java, line=58"
"main", "93", "ServerA.java:58", "Field Write", " context=ClientHandler:2, fortime=java.text.SimpleDateFormat (id=79)"
"main", "94", "ServerA.java:59", "Line Step", " file=ServerA.java, line=59"
"main", "95", "ServerA.java:59", "Field Write", " context=ClientHandler:2, dis=null"
"main", "96", "ServerA.java:60", "Line Step", " file=ServerA.java, line=60"
"main", "97", "ServerA.java:60", "Field Write", " context=ClientHandler:2, dos=null"
"main", "98", "ServerA.java:68", "Line Step", " file=ServerA.java, line=68"
"main", "99", "ServerA.java:68", "Field Write", " context=ClientHandler:2, s=java.net.Socket (id=75)"
"main", "100", "ServerA.java:69", "Line Step", " file=ServerA.java, line=69"
"main", "101", "ServerA.java:69", "Method Exit", " returner=ClientHandler:2#ClientHandler:2, value=<void>"
"main", "102", "ServerA.java:39", "Method Returned", " "
"main", "103", "ServerA.java:39", "Line Step", " file=ServerA.java, line=39"
"main", "104", "ServerA.java:39", "Variable Write", " context=ServerA#main:1, t=ClientHandler:2"
"main", "105", "ServerA.java:42", "Line Step", " file=ServerA.java, line=42"
"Thread-1", "106", "SYSTEM", "Thread Start", " Thread-1 (77)"
