"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=Client.ClientA"
"main", "5", "Client/ClientA.java:18", "Method Call", " caller=SYSTEM, target=Client.ClientA#main:1"
"main", "6", "Client/ClientA.java:14", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "Client/ClientA.java:14", "New Object", " object=java.lang.String[]:1"
"main", "9", "Client/ClientA.java:14", "Variable Write", " context=Client.ClientA#main:1, args=java.lang.String[]:1"
"main", "10", "Client/ClientA.java:18", "Line Step", " file=Client/ClientA.java, line=18"
"main", "11", "Client/ClientA.java:18", "Variable Write", " context=Client.ClientA#main:1, scn=java.util.Scanner (id=44)"
"main", "12", "Client/ClientA.java:21", "Line Step", " file=Client/ClientA.java, line=21"
"main", "13", "Client/ClientA.java:21", "Variable Write", " context=Client.ClientA#main:1, ip=java.net.Inet4Address (id=45)"
"main", "14", "Client/ClientA.java:26", "Line Step", " file=Client/ClientA.java, line=26"
"main", "15", "Client/ClientA.java:26", "Variable Write", " context=Client.ClientA#main:1, s=java.net.Socket (id=48)"
"main", "16", "Client/ClientA.java:27", "Line Step", " file=Client/ClientA.java, line=27"
"main", "17", "Client/ClientA.java:27", "Variable Write", " context=Client.ClientA#main:1, sock=null"
"main", "18", "Client/ClientA.java:31", "Line Step", " file=Client/ClientA.java, line=31"
"main", "19", "Client/ClientA.java:31", "Variable Write", " context=Client.ClientA#main:1, sock=""Socket[addr=localhost/127.0.0.1,port=5056,localport=44776]"""
"main", "20", "Client/ClientA.java:37", "Line Step", " file=Client/ClientA.java, line=37"
"main", "21", "Client/ClientA.java:37", "Variable Write", " context=Client.ClientA#main:1, dis=java.io.DataInputStream (id=51)"
"main", "22", "Client/ClientA.java:38", "Line Step", " file=Client/ClientA.java, line=38"
"main", "23", "Client/ClientA.java:39", "Line Step", " file=Client/ClientA.java, line=39"
"main", "24", "Client/ClientA.java:39", "Variable Write", " context=Client.ClientA#main:1, tosend=""Time"""
"main", "25", "Client/ClientA.java:40", "Line Step", " file=Client/ClientA.java, line=40"
"main", "26", "Client/ClientA.java:40", "Variable Write", " context=Client.ClientA#main:1, dos=java.io.DataOutputStream (id=55)"
"main", "27", "Client/ClientA.java:41", "Line Step", " file=Client/ClientA.java, line=41"
"main", "28", "Client/ClientA.java:45", "Line Step", " file=Client/ClientA.java, line=45"
"main", "29", "Client/ClientA.java:55", "Line Step", " file=Client/ClientA.java, line=55"
"main", "30", "Client/ClientA.java:55", "Variable Write", " context=Client.ClientA#main:1, received=""09:59:07"""
"main", "31", "Client/ClientA.java:56", "Line Step", " file=Client/ClientA.java, line=56"
"main", "32", "Client/ClientA.java:35", "Line Step", " file=Client/ClientA.java, line=35"
"main", "33", "Client/ClientA.java:35", "Variable Delete", " method=Client.ClientA#main:1 <name=dis,type=java.io.DataInputStream (unresolved),value=<?>,index=5>"
"main", "34", "Client/ClientA.java:35", "Variable Delete", " method=Client.ClientA#main:1 <name=tosend,type=java.lang.String (id=25),value=<?>,index=6>"
"main", "35", "Client/ClientA.java:35", "Variable Delete", " method=Client.ClientA#main:1 <name=dos,type=java.io.DataOutputStream (unresolved),value=<?>,index=7>"
"main", "36", "Client/ClientA.java:35", "Variable Delete", " method=Client.ClientA#main:1 <name=received,type=java.lang.String (id=25),value=<?>,index=8>"
"main", "37", "Client/ClientA.java:37", "Line Step", " file=Client/ClientA.java, line=37"
"main", "38", "Client/ClientA.java:37", "Variable Write", " context=Client.ClientA#main:1, dis=java.io.DataInputStream (id=59)"
"main", "39", "Client/ClientA.java:38", "Line Step", " file=Client/ClientA.java, line=38"
"main", "40", "Client/ClientA.java:39", "Line Step", " file=Client/ClientA.java, line=39"
"main", "41", "Client/ClientA.java:39", "Variable Write", " context=Client.ClientA#main:1, tosend=""Exit"""
"main", "42", "Client/ClientA.java:40", "Line Step", " file=Client/ClientA.java, line=40"
"main", "43", "Client/ClientA.java:40", "Variable Write", " context=Client.ClientA#main:1, dos=java.io.DataOutputStream (id=61)"
"main", "44", "Client/ClientA.java:41", "Line Step", " file=Client/ClientA.java, line=41"
"main", "45", "Client/ClientA.java:45", "Line Step", " file=Client/ClientA.java, line=45"
"main", "46", "Client/ClientA.java:47", "Line Step", " file=Client/ClientA.java, line=47"
"main", "47", "Client/ClientA.java:49", "Line Step", " file=Client/ClientA.java, line=49"
"main", "48", "Client/ClientA.java:50", "Line Step", " file=Client/ClientA.java, line=50"
"main", "49", "Client/ClientA.java:51", "Line Step", " file=Client/ClientA.java, line=51"
"main", "50", "Client/ClientA.java:60", "Line Step", " file=Client/ClientA.java, line=60"
"main", "51", "Client/ClientA.java:60", "Variable Delete", " method=Client.ClientA#main:1 <name=dis,type=java.io.DataInputStream (unresolved),value=<?>,index=5>"
"main", "52", "Client/ClientA.java:60", "Variable Delete", " method=Client.ClientA#main:1 <name=tosend,type=java.lang.String (id=25),value=<?>,index=6>"
"main", "53", "Client/ClientA.java:60", "Variable Delete", " method=Client.ClientA#main:1 <name=dos,type=java.io.DataOutputStream (unresolved),value=<?>,index=7>"
"main", "54", "Client/ClientA.java:63", "Line Step", " file=Client/ClientA.java, line=63"
"main", "55", "Client/ClientA.java:66", "Line Step", " file=Client/ClientA.java, line=66"
"main", "56", "Client/ClientA.java:66", "Method Exit", " returner=Client.ClientA#main:1, value=<void>"
"main", "57", "Client/ClientA.java:18", "Method Returned", " "
"main", "58", "SYSTEM", "Thread End", " "
"SYSTEM", "59", "SYSTEM", "System End", " "
