"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "2", "SYSTEM", "Thread Start", " main (1)"
"main", "3", "SYSTEM", "Type Load", " class=java.lang.Object"
"main", "4", "SYSTEM", "Type Load", " class=ClientA2"
"main", "5", "ClientA2.java:18", "Method Call", " caller=SYSTEM, target=ClientA2#main:1"
"main", "6", "ClientA2.java:14", "Method Entered", " "
"main", "7", "SYSTEM", "Type Load", " class=java.lang.String"
"main", "8", "ClientA2.java:14", "New Object", " object=java.lang.String[]:1"
"main", "9", "ClientA2.java:14", "Variable Write", " context=ClientA2#main:1, args=java.lang.String[]:1"
"main", "10", "ClientA2.java:18", "Line Step", " file=ClientA2.java, line=18"
"main", "11", "ClientA2.java:18", "Variable Write", " context=ClientA2#main:1, scn=java.util.Scanner (id=46)"
"main", "12", "ClientA2.java:21", "Line Step", " file=ClientA2.java, line=21"
"main", "13", "ClientA2.java:21", "Variable Write", " context=ClientA2#main:1, ip=java.net.Inet4Address (id=47)"
"main", "14", "ClientA2.java:24", "Line Step", " file=ClientA2.java, line=24"
"main", "15", "ClientA2.java:24", "Variable Write", " context=ClientA2#main:1, s=java.net.Socket (id=50)"
"main", "16", "ClientA2.java:25", "Line Step", " file=ClientA2.java, line=25"
"main", "17", "ClientA2.java:25", "Variable Write", " context=ClientA2#main:1, sock=""Socket[addr=localhost/127.0.0.1,port=5056,localport=44760]"""
"main", "18", "ClientA2.java:34", "Line Step", " file=ClientA2.java, line=34"
"main", "19", "ClientA2.java:34", "Variable Write", " context=ClientA2#main:1, dis=java.io.DataInputStream (id=53)"
"main", "20", "ClientA2.java:35", "Line Step", " file=ClientA2.java, line=35"
"main", "21", "ClientA2.java:36", "Line Step", " file=ClientA2.java, line=36"
"main", "22", "ClientA2.java:36", "Variable Write", " context=ClientA2#main:1, tosend=""Date"""
"main", "23", "ClientA2.java:37", "Line Step", " file=ClientA2.java, line=37"
"main", "24", "ClientA2.java:37", "Variable Write", " context=ClientA2#main:1, dos=java.io.DataOutputStream (id=57)"
"main", "25", "ClientA2.java:38", "Line Step", " file=ClientA2.java, line=38"
"main", "26", "ClientA2.java:42", "Line Step", " file=ClientA2.java, line=42"
"main", "27", "ClientA2.java:52", "Line Step", " file=ClientA2.java, line=52"
"main", "28", "ClientA2.java:52", "Variable Write", " context=ClientA2#main:1, received=""2020/03/15"""
"main", "29", "ClientA2.java:53", "Line Step", " file=ClientA2.java, line=53"
"main", "30", "ClientA2.java:32", "Line Step", " file=ClientA2.java, line=32"
"main", "31", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=dis,type=java.io.DataInputStream (unresolved),value=<?>,index=5>"
"main", "32", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=tosend,type=java.lang.String (id=25),value=<?>,index=6>"
"main", "33", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=dos,type=java.io.DataOutputStream (unresolved),value=<?>,index=7>"
"main", "34", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=received,type=java.lang.String (id=25),value=<?>,index=8>"
"main", "35", "ClientA2.java:34", "Line Step", " file=ClientA2.java, line=34"
"main", "36", "ClientA2.java:34", "Variable Write", " context=ClientA2#main:1, dis=java.io.DataInputStream (id=61)"
"main", "37", "ClientA2.java:35", "Line Step", " file=ClientA2.java, line=35"
"main", "38", "ClientA2.java:36", "Line Step", " file=ClientA2.java, line=36"
"main", "39", "ClientA2.java:36", "Variable Write", " context=ClientA2#main:1, tosend=""Time"""
"main", "40", "ClientA2.java:37", "Line Step", " file=ClientA2.java, line=37"
"main", "41", "ClientA2.java:37", "Variable Write", " context=ClientA2#main:1, dos=java.io.DataOutputStream (id=63)"
"main", "42", "ClientA2.java:38", "Line Step", " file=ClientA2.java, line=38"
"main", "43", "ClientA2.java:42", "Line Step", " file=ClientA2.java, line=42"
"main", "44", "ClientA2.java:52", "Line Step", " file=ClientA2.java, line=52"
"main", "45", "ClientA2.java:52", "Variable Write", " context=ClientA2#main:1, received=""09:57:39"""
"main", "46", "ClientA2.java:53", "Line Step", " file=ClientA2.java, line=53"
"main", "47", "ClientA2.java:32", "Line Step", " file=ClientA2.java, line=32"
"main", "48", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=dis,type=java.io.DataInputStream (unresolved),value=<?>,index=5>"
"main", "49", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=tosend,type=java.lang.String (id=25),value=<?>,index=6>"
"main", "50", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=dos,type=java.io.DataOutputStream (unresolved),value=<?>,index=7>"
"main", "51", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=received,type=java.lang.String (id=25),value=<?>,index=8>"
"main", "52", "ClientA2.java:34", "Line Step", " file=ClientA2.java, line=34"
"main", "53", "ClientA2.java:34", "Variable Write", " context=ClientA2#main:1, dis=java.io.DataInputStream (id=65)"
"main", "54", "ClientA2.java:35", "Line Step", " file=ClientA2.java, line=35"
"main", "55", "ClientA2.java:36", "Line Step", " file=ClientA2.java, line=36"
"main", "56", "ClientA2.java:36", "Variable Write", " context=ClientA2#main:1, tosend=""Date"""
"main", "57", "ClientA2.java:37", "Line Step", " file=ClientA2.java, line=37"
"main", "58", "ClientA2.java:37", "Variable Write", " context=ClientA2#main:1, dos=java.io.DataOutputStream (id=67)"
"main", "59", "ClientA2.java:38", "Line Step", " file=ClientA2.java, line=38"
"main", "60", "ClientA2.java:42", "Line Step", " file=ClientA2.java, line=42"
"main", "61", "ClientA2.java:52", "Line Step", " file=ClientA2.java, line=52"
"main", "62", "ClientA2.java:52", "Variable Write", " context=ClientA2#main:1, received=""2020/03/15"""
"main", "63", "ClientA2.java:53", "Line Step", " file=ClientA2.java, line=53"
"main", "64", "ClientA2.java:32", "Line Step", " file=ClientA2.java, line=32"
"main", "65", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=dis,type=java.io.DataInputStream (unresolved),value=<?>,index=5>"
"main", "66", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=tosend,type=java.lang.String (id=25),value=<?>,index=6>"
"main", "67", "ClientA2.java:32", "Variable Delete", " method=ClientA2#main:1 <name=dos,type=java.io.DataOutputStream (unresolved),value=<?>,index=7>"
